longitude;latitude;housing_median_age;total_rooms;total_bedrooms;population;households;median_income;median_house_value;ocean_proximity
-122.23;37.88;41.0;880.0;129.0;322.0;126.0;83.252;452600.0;NEAR BAY
-122.22;37.86;21.0;7099.0;1106.0;2401.0;1138.0;83.014;358500.0;NEAR BAY
-122.24;37.85;52.0;1467.0;190.0;496.0;177.0;72.574;352100.0;NEAR BAY
-122.25;37.85;52.0;1274.0;235.0;558.0;219.0;56.431;341300.0;NEAR BAY
-122.25;37.85;52.0;1627.0;280.0;565.0;259.0;38.462;342200.0;NEAR BAY
-122.25;37.85;52.0;919.0;213.0;413.0;193.0;40.368;269700.0;NEAR BAY
-122.25;37.84;52.0;2535.0;489.0;1094.0;514.0;36.591;299200.0;NEAR BAY
-122.25;37.84;52.0;3104.0;687.0;1157.0;647.0;3.12;241400.0;NEAR BAY
-122.26;37.84;42.0;2555.0;665.0;1206.0;595.0;20.804;226700.0;NEAR BAY
-122.25;37.84;52.0;3549.0;707.0;1551.0;714.0;36.912;261100.0;NEAR BAY
-122.26;37.85;52.0;2202.0;434.0;910.0;402.0;32.031;281500.0;NEAR BAY
-122.26;37.85;52.0;3503.0;752.0;1504.0;734.0;32.705;241800.0;NEAR BAY
-122.26;37.85;52.0;2491.0;474.0;1098.0;468.0;3.075;213500.0;NEAR BAY
-122.26;37.84;52.0;696.0;191.0;345.0;174.0;26.736;191300.0;NEAR BAY
-122.26;37.85;52.0;2643.0;626.0;1212.0;620.0;19.167;159200.0;NEAR BAY
-122.26;37.85;50.0;1120.0;283.0;697.0;264.0;2.125;140000.0;NEAR BAY
-122.27;37.85;52.0;1966.0;347.0;793.0;331.0;2.775;152500.0;NEAR BAY
-122.27;37.85;52.0;1228.0;293.0;648.0;303.0;21.202;155500.0;NEAR BAY
-122.26;37.84;50.0;2239.0;455.0;990.0;419.0;19.911;158700.0;NEAR BAY
-122.27;37.84;52.0;1503.0;298.0;690.0;275.0;26.033;162900.0;NEAR BAY
-122.27;37.85;40.0;751.0;184.0;409.0;166.0;13.578;147500.0;NEAR BAY
-122.27;37.85;42.0;1639.0;367.0;929.0;366.0;17.135;159800.0;NEAR BAY
-122.27;37.84;52.0;2436.0;541.0;1015.0;478.0;1.725;113900.0;NEAR BAY
-122.27;37.84;52.0;1688.0;337.0;853.0;325.0;21.806;99700.0;NEAR BAY
-122.27;37.84;52.0;2224.0;437.0;1006.0;422.0;2.6;132600.0;NEAR BAY
-122.28;37.85;41.0;535.0;123.0;317.0;119.0;24.038;107500.0;NEAR BAY
